Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Seagoville Police Dept,TX,12,15320,15,2,0,6,7,635,114,435,86,97.9,13.1,0,39.2,45.7,4144.9,744.1,2839.4,561.4
Seguin Police Dept,TX,12,26332,60,1,7,12,40,1146,205,916,25,227.9,3.8,26.6,45.6,151.9,4352.1,778.5,3478.7,94.9
Sherman Police Dept,TX,12,39269,139,2,3,28,106,1542,372,1077,93,354,5.1,7.6,71.3,269.9,3926.8,947.3,2742.6,236.8
Smith County Sheriff Department,TX,12,,264,2,37,18,207,1936,772,996,168,,,,,,,,,
Snyder Police Dept,TX,12,11368,51,1,7,4,39,313,90,213,10,448.6,8.8,61.6,35.2,343.1,2753.3,791.7,1873.7,88
Socorro Police Dept,TX,12,33326,55,0,4,6,45,445,79,336,30,165,0,12,18,135,1335.3,237.1,1008.2,90
South Houston Police Dept,TX,12,17614,90,1,9,30,50,848,222,488,138,511,5.7,51.1,170.3,283.9,4814.4,1260.4,2770.5,783.5
Southlake Police Dept,TX,12,27596,10,1,0,5,4,485,73,409,3,36.2,3.6,0,18.1,14.5,1757.5,264.5,1482.1,10.9
Stafford Police Dept,TX,12,18623,78,2,3,29,44,697,135,492,70,418.8,10.7,16.1,155.7,236.3,3742.7,724.9,2641.9,375.9
Starr County Sheriff Department,TX,12,,101,2,5,4,90,341,157,155,29,,,,,,,,,
Stephenville Police Dept,TX,12,17511,33,0,7,3,23,620,114,485,21,188.5,0,40,17.1,131.3,3540.6,651,2769.7,119.9
Sugar Land Police Dept,TX,12,82924,109,0,4,37,68,1541,289,1217,35,131.4,0,4.8,44.6,82,1858.3,348.5,1467.6,42.2
Sulphur Springs Police Dept,TX,12,15774,39,0,0,3,36,211,47,149,15,247.2,0,0,19,228.2,1337.6,298,944.6,95.1
Sweetwater Police Dept,TX,12,11107,121,0,27,9,85,445,118,309,18,1089.4,0,243.1,81,765.3,4006.5,1062.4,2782,162.1
Tarrant County Sheriff Department,TX,12,,126,1,17,12,96,1246,411,746,89,,,,,,,,,
Taylor Police Dept,TX,12,16240,23,0,2,10,11,447,91,348,8,141.6,0,12.3,61.6,67.7,2752.5,560.3,2142.9,49.3
Temple Police Dept,TX,12,68194,202,1,22,74,105,2056,534,1433,89,296.2,1.5,32.3,108.5,154,3014.9,783.1,2101.4,130.5
Terrell Police Dept,TX,12,16353,64,1,7,15,41,685,168,483,34,391.4,6.1,42.8,91.7,250.7,4188.8,1027.3,2953.6,207.9
Texarkana Police Dept,TX,12,37048,392,5,16,71,300,2506,616,1761,129,1058.1,13.5,43.2,191.6,809.8,6764.2,1662.7,4753.3,348.2
Texas City Police Dept,TX,12,46448,148,2,11,51,84,1700,355,1278,67,318.6,4.3,23.7,109.8,180.8,3660,764.3,2751.5,144.2
The Colony City Police Dept,TX,12,38217,38,0,6,9,23,554,115,394,45,99.4,0,15.7,23.5,60.2,1449.6,300.9,1031,117.7
Tomball Police Dept,TX,12,11143,36,0,10,5,21,463,84,360,19,323.1,0,89.7,44.9,188.5,4155.1,753.8,3230.7,170.5
Travis County Sheriff Department,TX,12,,448,1,15,36,396,3182,966,2073,143,,,,,,,,,
Tyler Police Dept,TX,12,100040,537,4,45,92,396,4506,1025,3350,131,536.8,4,45,92,395.8,4504.2,1024.6,3348.7,130.9
Universal City Police Dept,TX,12,19271,70,0,1,13,56,458,90,326,42,363.2,0,5.2,67.5,290.6,2376.6,467,1691.7,217.9
City Of University Park Police Dept,TX,12,23842,11,0,2,5,4,433,61,359,13,46.1,0,8.4,21,16.8,1816.1,255.9,1505.7,54.5
Upshur County Sheriff Office,TX,12,,65,0,5,1,59,682,274,365,43,,,,,,,,,
Uvalde Police Dept,TX,12,16065,75,1,7,3,64,648,130,501,17,466.9,6.2,43.6,18.7,398.4,4033.6,809.2,3118.6,105.8
Van Zandt County Sheriff Department,TX,12,,75,4,0,5,66,706,267,352,87,,,,,,,,,
Vernon Police Dept,TX,12,11060,55,1,14,1,39,324,72,237,15,497.3,9,126.6,9,352.6,2929.5,651,2142.9,135.6
Victoria Police Dept,TX,12,64076,405,5,31,47,322,2584,594,1887,103,632.1,7.8,48.4,73.4,502.5,4032.7,927,2944.9,160.7
Vidor Police Dept,TX,12,10974,38,1,1,3,33,484,97,340,47,346.3,9.1,9.1,27.3,300.7,4410.4,883.9,3098.2,428.3
City Of Waco Police Dept,TX,12,128595,635,6,63,182,384,5844,1550,4139,155,493.8,4.7,49,141.5,298.6,4544.5,1205.3,3218.6,120.5
Walker County Sheriff Department,TX,12,,68,0,17,2,49,389,171,197,21,,,,,,,,,
Waller County Sheriff Department,TX,12,,30,2,5,2,21,255,98,148,9,,,,,,,,,
Watauga Police Dept,TX,12,24390,46,0,6,11,29,518,110,385,23,188.6,0,24.6,45.1,118.9,2123.8,451,1578.5,94.3
Waxahachie Police Dept,TX,12,30676,45,0,0,14,31,1176,173,972,31,146.7,0,0,45.6,101.1,3833.6,564,3168.6,101.1
Weatherford Police Dept,TX,12,25940,35,0,0,8,27,751,126,610,15,134.9,0,0,30.8,104.1,2895.1,485.7,2351.6,57.8
Webster Police Dept,TX,12,10780,43,0,10,21,12,669,77,553,39,398.9,0,92.8,194.8,111.3,6205.9,714.3,5129.9,361.8
Weslaco Police Dept,TX,12,37271,410,1,25,60,324,2814,433,2288,93,1100.1,2.7,67.1,161,869.3,7550.1,1161.8,6138.8,249.5
West University Place Police Dept,TX,12,15335,13,0,0,11,2,209,127,73,9,84.8,0,0,71.7,13,1362.9,828.2,476,58.7
White Settlement Police Dept,TX,12,16716,30,0,0,16,14,434,123,277,34,179.5,0,0,95.7,83.8,2596.3,735.8,1657.1,203.4
Wichita Falls Police Dept,TX,12,105488,475,5,36,150,284,5021,1259,3532,230,450.3,4.7,34.1,142.2,269.2,4759.8,1193.5,3348.2,218
Williamson County Sheriff Department,TX,12,,114,2,23,9,80,1147,292,819,36,,,,,,,,,
Wilson County Sheriff Department,TX,12,,28,3,4,1,20,284,105,151,28,,,,,,,,,
Wise County Sheriff Department,TX,12,,64,1,3,6,54,542,193,304,45,,,,,,,,,
Wood County Sheriff Office,TX,12,,28,1,2,2,23,565,202,334,29,,,,,,,,,
Wylie Police Dept,TX,12,43645,28,2,1,3,22,613,100,485,28,64.2,4.6,2.3,6.9,50.4,1404.5,229.1,1111.2,64.2
Anderson County Sheriff Department,TN,12,,107,1,17,10,79,805,333,391,81,,,,,,,,,
Athens Police Dept,TN,12,13632,170,0,9,31,130,1178,232,895,51,1247.1,0,66,227.4,953.6,8641.4,1701.9,6565.4,374.1
Bartlett Police Dept,TN,12,55510,132,0,7,19,106,778,125,624,29,237.8,0,12.6,34.2,191,1401.5,225.2,1124.1,52.2
Blount County Sheriff Department,TN,12,,301,3,28,16,254,1782,704,968,110,,,,,,,,,
Bradley County Sheriff Department,TN,12,,220,1,6,14,199,965,272,612,81,,,,,,,,,
Brentwood Police Dept,TN,12,38459,17,0,1,3,13,309,49,257,3,44.2,0,2.6,7.8,33.8,803.5,127.4,668.2,7.8
Bristol Police Dept,TN,12,27024,143,0,12,9,122,1102,184,850,68,529.2,0,44.4,33.3,451.5,4077.9,680.9,3145.4,251.6
Brownsville Police Dept,TN,12,10201,111,0,3,7,101,423,141,269,13,1088.1,0,29.4,68.6,990.1,4146.7,1382.2,2637,127.4
Campbell County Sheriff Department,TN,12,,57,0,12,8,37,669,336,301,32,,,,,,,,,
Carter County Sheriff Office,TN,12,,53,4,2,1,46,666,295,315,56,,,,,,,,,
Chattanooga Police Dept,TN,12,171541,1709,22,56,490,1141,10441,2291,7215,935,996.3,12.8,32.6,285.6,665.1,6086.6,1335.5,4206,545.1
Cheatham County Sheriff Office,TN,12,,102,1,6,5,90,573,148,364,61,,,,,,,,,
Claiborne County Sheriff Department,TN,12,,139,0,3,11,125,670,339,288,43,,,,,,,,,
Clarksville Police Dept,TN,12,137356,875,10,46,99,720,3741,976,2598,167,637,7.3,33.5,72.1,524.2,2723.6,710.6,1891.4,121.6
Cleveland Police Dept,TN,12,42068,371,0,29,39,303,2225,398,1751,76,881.9,0,68.9,92.7,720.3,5289.1,946.1,4162.3,180.7
Cocke County Sheriff Office,TN,12,,160,3,2,12,143,895,397,434,64,,,,,,,,,
Coffee County Sheriff Department,TN,12,,67,1,0,3,63,380,112,241,27,,,,,,,,,
Collierville Police Dept,TN,12,44690,77,0,5,7,65,887,81,787,19,172.3,0,11.2,15.7,145.4,1984.8,181.2,1761,42.5
Columbia Police Dept,TN,12,35203,282,4,11,37,230,1362,284,1048,30,801.1,11.4,31.2,105.1,653.4,3869,806.7,2977,85.2
Cookeville Police Dept,TN,12,30946,146,0,12,26,108,1522,370,1097,55,471.8,0,38.8,84,349,4918.2,1195.6,3544.9,177.7
Crossville Police Dept,TN,12,10993,163,0,11,17,135,1119,243,833,43,1482.8,0,100.1,154.6,1228.1,10179.2,2210.5,7577.5,391.2
Cumberland County Sheriff Department,TN,12,,79,2,7,5,65,839,334,453,52,,,,,,,,,
Dickson County Sheriff Department,TN,12,,105,1,9,2,93,548,212,306,30,,,,,,,,,
Dickson Police Dept,TN,12,14780,59,1,7,1,50,756,100,636,20,399.2,6.8,47.4,6.8,338.3,5115,676.6,4303.1,135.3
Dyersburg Police Dept,TN,12,17223,184,0,7,20,157,1150,278,848,24,1068.3,0,40.6,116.1,911.6,6677.1,1614.1,4923.6,139.3
East Ridge Police Dept,TN,12,21435,151,0,6,33,112,1057,230,741,86,704.5,0,28,154,522.5,4931.2,1073,3457,401.2
Elizabethton Police Dept,TN,12,14240,36,0,2,5,29,774,127,621,26,252.8,0,14,35.1,203.7,5435.4,891.9,4361,182.6
Fayette County Sheriff Department,TN,12,,62,0,4,8,50,320,104,194,22,,,,,,,,,
Franklin Police Dept,TN,12,64848,93,1,11,11,70,1033,90,902,41,143.4,1.5,17,17,107.9,1593,138.8,1390.9,63.2
Gallatin Police Dept,TN,12,31093,133,0,5,12,116,556,99,434,23,427.7,0,16.1,38.6,373.1,1788.2,318.4,1395.8,74
Germantown Police Dept,TN,12,39484,31,0,2,5,24,623,134,478,11,78.5,0,5.1,12.7,60.8,1577.9,339.4,1210.6,27.9
Goodlettsville Police Dept,TN,12,16310,90,3,4,24,59,896,128,749,19,551.8,18.4,24.5,147.1,361.7,5493.6,784.8,4592.3,116.5
Greene County Sheriff Department,TN,12,,154,4,10,23,117,1094,429,579,86,,,,,,,,,
Greeneville Police Dept,TN,12,15295,116,1,5,18,92,1012,191,781,40,758.4,6.5,32.7,117.7,601.5,6616.5,1248.8,5106.2,261.5
Hamblen County Sheriff Department,TN,12,,87,0,4,13,70,607,182,398,27,,,,,,,,,
Hamilton County Sheriff Office,TN,12,,252,2,20,18,212,1826,625,1088,113,,,,,,,,,
Hawkins,TN,12,,64,2,8,6,48,789,244,496,49,,,,,,,,,
Hendersonville Police Dept,TN,12,52781,127,0,6,13,108,941,141,772,28,240.6,0,11.4,24.6,204.6,1782.8,267.1,1462.6,53
Jackson Police Dept,TN,12,65725,972,11,22,191,748,3246,972,2139,135,1478.9,16.7,33.5,290.6,1138.1,4938.8,1478.9,3254.5,205.4
Jefferson County Sheriff Department,TN,12,,110,2,9,9,90,854,316,494,44,,,,,,,,,
Johnson City Police Dept,TN,12,64342,319,1,14,51,253,2875,540,2238,97,495.8,1.6,21.8,79.3,393.2,4468.3,839.3,3478.3,150.8
Kingsport Police Dept,TN,12,49639,367,2,31,50,284,2950,431,2387,132,739.3,4,62.5,100.7,572.1,5942.9,868.3,4808.7,265.9
Knox County Sheriff Office,TN,12,,539,7,30,81,421,5589,1285,3863,441,,,,,,,,,
Knoxville Police Dept,TN,12,182254,1774,18,119,528,1109,12169,2882,8373,914,973.4,9.9,65.3,289.7,608.5,6676.9,1581.3,4594.1,501.5
La Vergne Police Dept,TN,12,33665,157,0,11,18,128,555,168,345,42,466.4,0,32.7,53.5,380.2,1648.6,499,1024.8,124.8
Lawrence County Sheriff Department,TN,12,,98,0,2,2,94,565,218,310,37,,,,,,,,,
Lawrenceburg Police Dept,TN,12,10576,70,0,4,6,60,594,125,457,12,661.9,0,37.8,56.7,567.3,5616.5,1181.9,4321.1,113.5
Lebanon Police Dept,TN,12,26991,197,2,10,24,161,1137,188,896,53,729.9,7.4,37,88.9,596.5,4212.5,696.5,3319.6,196.4
Lewisburg Police Dept,TN,12,11287,64,1,7,1,55,287,89,189,9,567,8.9,62,8.9,487.3,2542.7,788.5,1674.5,79.7
Lincoln County Sheriff Department,TN,12,,89,4,3,1,81,369,149,204,16,,,,,,,,,
Loudon County Sheriff Department,TN,12,,60,0,4,1,55,565,168,360,37,,,,,,,,,
Madison County Sheriff Department,TN,12,,146,1,11,6,128,799,320,440,39,,,,,,,,,
Manchester Police Dept,TN,12,10226,82,0,5,7,70,608,103,489,16,801.9,0,48.9,68.5,684.5,5945.6,1007.2,4781.9,156.5
Martin Police Dept,TN,12,11556,34,0,0,1,33,346,55,287,4,294.2,0,0,8.7,285.6,2994.1,475.9,2483.6,34.6
Maryville Police Dept,TN,12,27874,59,0,4,13,42,853,198,631,24,211.7,0,14.4,46.6,150.7,3060.2,710.3,2263.8,86.1
Maury County Sheriff Office,TN,12,,131,1,12,5,113,636,197,396,43,,,,,,,,,
Mcminn County Sheriff Department,TN,12,,69,0,2,5,62,656,194,387,75,,,,,,,,,
Mcminnville Police Dept,TN,12,13746,111,1,14,8,88,644,133,472,39,807.5,7.3,101.8,58.2,640.2,4685,967.6,3433.7,283.7
Memphis Police Dept,TN,12,657436,11507,133,420,3382,7572,41503,12575,25959,2969,1750.3,20.2,63.9,514.4,1151.7,6312.9,1912.7,3948.5,451.6
Millington Police Dept,TN,12,10342,69,0,4,14,51,417,68,331,18,667.2,0,38.7,135.4,493.1,4032.1,657.5,3200.5,174
Monroe County Sheriff Department,TN,12,,135,4,3,3,125,685,214,411,60,,,,,,,,,
Montgomery County Sheriff Department,TN,12,,105,2,9,4,90,770,178,534,58,,,,,,,,,
Morristown Police Dept,TN,12,29617,203,0,13,45,145,1798,191,1522,85,685.4,0,43.9,151.9,489.6,6070.8,644.9,5138.9,287
Mt Juliet Police Dept,TN,12,24419,55,1,3,5,46,449,68,367,14,225.2,4.1,12.3,20.5,188.4,1838.7,278.5,1502.9,57.3
Murfreesboro Police Dept,TN,12,112247,701,3,55,134,509,4006,923,2899,184,624.5,2.7,49,119.4,453.5,3568.9,822.3,2582.7,163.9
Nashville-Davidson Metro Police Dept,TN,12,620886,7550,62,311,1724,5453,26052,5736,18885,1431,1216,10,50.1,277.7,878.3,4195.9,923.8,3041.6,230.5
Oak Ridge Police Dept,TN,12,29593,81,1,8,21,51,1026,212,752,62,273.7,3.4,27,71,172.3,3467,716.4,2541.1,209.5
Paris Police Dept,TN,12,10246,59,0,1,11,47,538,153,374,11,575.8,0,9.8,107.4,458.7,5250.8,1493.3,3650.2,107.4
Portland Police Dept,TN,12,11801,60,0,5,2,53,307,96,201,10,508.4,0,42.4,16.9,449.1,2601.5,813.5,1703.2,84.7
Putnam County Sheriff Department,TN,12,,142,0,7,3,132,982,270,652,60,,,,,,,,,
Red Bank Police Dept,TN,12,11906,80,1,6,11,62,543,132,363,48,671.9,8.4,50.4,92.4,520.7,4560.7,1108.7,3048.9,403.2
Roane County Sheriff Department,TN,12,,51,0,7,0,44,553,248,268,37,,,,,,,,,
Robertson County Sheriff Department,TN,12,,53,0,4,2,47,348,121,199,28,,,,,,,,,
Rutherford County Sheriff Department,TN,12,,241,0,12,13,216,1299,397,799,103,,,,,,,,,
Sevier County Sheriff Department,TN,12,,142,2,13,13,114,2047,859,1092,96,,,,,,,,,
Sevierville Police Dept,TN,12,15161,80,0,6,11,63,840,124,667,49,527.7,0,39.6,72.6,415.5,5540.5,817.9,4399.4,323.2
Shelby County Sheriff Office,TN,12,,601,1,37,79,484,3073,945,1966,162,,,,,,,,,
Shelbyville Police Dept,TN,12,20706,129,0,15,16,98,640,134,485,21,623,0,72.4,77.3,473.3,3090.9,647.2,2342.3,101.4
Smyrna Police Dept,TN,12,41284,106,2,12,21,71,987,135,802,50,256.8,4.8,29.1,50.9,172,2390.8,327,1942.6,121.1
Soddy-Daisy Police Dept,TN,12,12989,56,0,3,5,48,419,61,340,18,431.1,0,23.1,38.5,369.5,3225.8,469.6,2617.6,138.6
Spring Hill Police Dept,TN,12,29981,59,0,6,7,46,382,70,307,5,196.8,0,20,23.3,153.4,1274.1,233.5,1024,16.7
Springfield Police Dept,TN,12,16776,176,2,14,46,114,783,122,635,26,1049.1,11.9,83.5,274.2,679.5,4667.4,727.2,3785.2,155
Sullivan County Sheriff Department,TN,12,,407,1,17,15,374,1526,470,949,107,,,,,,,,,
Sumner County Sheriff Department,TN,12,,119,1,10,3,105,736,263,439,34,,,,,,,,,
Tipton County Sheriff Office,TN,12,,152,0,12,7,133,621,201,364,56,,,,,,,,,
Tullahoma Police Dept,TN,12,18880,101,1,2,7,91,653,151,475,27,535,5.3,10.6,37.1,482,3458.7,799.8,2515.9,143
Union City Police Dept,TN,12,10978,62,0,10,11,41,710,122,575,13,564.8,0,91.1,100.2,373.5,6467.5,1111.3,5237.7,118.4
Warren County Sheriff Department,TN,12,,39,0,1,1,37,402,129,238,35,,,,,,,,,
Washington County Sheriff Department,TN,12,,174,0,5,9,160,1076,445,575,56,,,,,,,,,
White House Police Dept,TN,12,10505,25,0,2,5,18,204,19,182,3,238,0,19,47.6,171.3,1941.9,180.9,1732.5,28.6
Williamson County Sheriff Office,TN,12,,74,0,7,8,59,488,154,308,26,,,,,,,,,
Wilson County Sheriff Department,TN,12,,142,1,3,14,124,949,296,564,89,,,,,,,,,
Aiken County Sheriff Department,SC,12,,351,4,41,47,259,3776,1187,2173,416,,,,,,,,,
Aiken Police Dept,SC,12,29909,112,7,7,40,58,1614,246,1290,78,374.5,23.4,23.4,133.7,193.9,5396.4,822.5,4313.1,260.8
Anderson County Sheriff Department,SC,12,,809,10,40,110,649,6816,1890,4251,675,,,,,,,,,
Anderson Police Dept,SC,12,27127,250,7,10,38,195,1970,386,1458,126,921.6,25.8,36.9,140.1,718.8,7262.1,1422.9,5374.7,464.5
Beaufort County Sheriff Office,SC,12,,706,9,34,89,574,3489,1015,2306,168,,,,,,,,,
Beaufort Police Dept,SC,12,12653,139,2,4,29,104,824,147,656,21,1098.6,15.8,31.6,229.2,821.9,6512.3,1161.8,5184.5,166
Berkeley County Sheriff Office,SC,12,,487,10,37,82,358,3558,1010,2173,375,,,,,,,,,
Bluffton Police Dept,SC,12,12855,39,0,5,15,19,461,72,372,17,303.4,0,38.9,116.7,147.8,3586.2,560.1,2893.8,132.2
Cayce Police Dept,SC,12,12864,103,3,4,13,83,688,120,497,71,800.7,23.3,31.1,101.1,645.2,5348.3,932.8,3863.5,551.9
Charleston City Police Dept,SC,12,123856,296,12,19,104,161,3373,374,2764,235,239,9.7,15.3,84,130,2723.3,302,2231.6,189.7
